2015-10-06 13:07:38,483 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.enclaveit.brea:breaWebapp:1.0-SNAPSHOT @ /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/pom.xml.
2015-10-06 13:07:54,606 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho:pentaho-database-model:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:07:54,615 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.fife.ui:rsyntaxtextarea:jar:1.3.2 is missing, no dependency information available
2015-10-06 13:07:54,638 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-reporting-engine:pentaho-reporting-engine-legacy-charts:jar:5.3.0.0-180 is missing, no dependency information available
2015-10-06 13:08:23,564 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.enclaveit.brea:breaWebapp:1.0-SNAPSHOT @ /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/pom.xml.
2015-10-06 13:08:26,250 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:08:26,281 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-10-06 13:08:26,295 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:08:26,296 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
2015-10-06 13:08:51,630 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.enclaveit.brea:breaWebapp:1.0-SNAPSHOT @ /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/pom.xml.
2015-10-06 13:08:54,062 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository.pentaho.org/artifactory/repo/pentaho-library/flute/5.3.0.0-190/flute-5.3.0.0-190.pom
2015-10-06 13:09:03,383 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/pentaho-library/flute/5.3.0.0-190/flute-5.3.0.0-190.pom
2015-10-06 13:09:03,384 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:flute:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:09:04,908 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository.pentaho.org/artifactory/repo/pentaho/pentaho-database-model/5.3.0.0-190/pentaho-database-model-5.3.0.0-190.pom
2015-10-06 13:09:07,403 [Worker-22] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/pentaho/pentaho-database-model/5.3.0.0-190/pentaho-database-model-5.3.0.0-190.pom
2015-10-06 13:09:07,404 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho:pentaho-database-model:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:09:08,177 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:flute:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:09:08,199 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho:pentaho-database-model:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:09:08,756 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho-library:flute:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:09:08,770 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for pentaho:pentaho-database-model:jar:5.3.0.0-190 is missing, no dependency information available
2015-10-06 13:09:09,045 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:09:09,047 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-06 13:09:09,050 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:09:09,051 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
2015-10-06 13:11:07,289 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:11:07,295 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-10-06 13:11:07,308 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:11:07,308 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
2015-10-06 13:12:02,224 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:12:02,227 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-10-06 13:12:02,230 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:12:02,231 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
2015-10-06 13:16:54,911 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:16:54,913 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-10-06 13:16:54,916 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:16:54,917 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
2015-10-06 13:19:01,592 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:19:01,594 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2015-10-06 13:19:01,597 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-06 13:19:01,597 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/BreaProj/Brea/Development/source/BreaProjects/breaWebapp/src/test/resources
